"KEY","ATOM_NAME","DESCRIPTION","UPDATED_AT","REFERENCE","TEXT","ID",
"centre","Centre","",2019-03-22 16:57:00.000000000,"NZBC-D1","centre",424,
"carPark","Car park","",2019-03-22 16:57:00.000000000,"NZBC-D1","car park",425,
"breaking","Breaking","",2019-03-22 16:57:00.000000000,"NZBC-D1","breaking",426,
"bedroom","Bedroom","",2019-03-22 16:57:00.000000000,"NZBC-D1","bedroom",427,
"bathroomFacility","Bathroom facility","",2019-03-22 16:57:00.000000000,"NZBC-D1","bathroom facility",428,
"barrier","Barrier","",2019-03-22 16:57:00.000000000,"NZBC-D1","barrier",429,
"artificialLighting","Artificial Lighting","",2019-03-22 16:57:00.000000000,"NZBC-D1","artificial lighting",430,
"area","Area","",2019-03-22 16:57:00.000000000,"NZBC-D1","area",431,
"accomodationUnit","Accomodation unit","",2019-03-22 16:57:00.000000000,"NZBC-D1","accomodation unit",432,
"thickness","thickness","LRMl Editor",2023-01-18 15:06:00.000000000,"NZ_NZBC-E3AS1#2.6","thickness",433,
"rValue","rValue","LRMl Editor",2023-01-18 15:13:00.000000000,"NZ_NZBC-E3AS1#2.6","r value",434,
"isExternal","isExternal","LRMl Editor - Stefan",2023-02-23 01:19:14.831627000,"NZ_NZBC-G4AS1#4.0","is external",2223,
"facility","facility","LRMl Editor - Stefan",2023-02-23 01:37:02.699190000,"NZ_NZBC-G14AS1#2.6","facility",2225,
"waste","waste","LRMl Editor - Stefan",2023-02-23 02:09:14.097200000,"NZ_NZBC-G14VM1#2.6","waste",2228,
"object","object","LRMl Editor - ",2023-02-26 20:48:04.775651000,"NZ_NZBC-G14VM1#2.6","object",2241,
"method","method","LRMl Editor - Stefan",2023-02-26 22:30:13.220119000,"NZ_NZBC-G14VM1#2.6","method",2242,
"conveyingSystems","conveyingSystems","LRMl Editor - Stefan",2023-02-26 22:30:16.177717000,"NZ_NZBC-G14VM1#2.6","conveying systems",2243,
"storageSystem","storageSystem","LRMl Editor - Stefan",2023-02-26 22:30:18.285096000,"NZ_NZBC-G14VM1#2.6","storage system",2244,
"conveyingSystem","conveyingSystem","LRMl Editor - Stefan",2023-02-26 22:34:53.709432000,"NZ_NZBC-G14VM1#2.6","conveying system",2245,
"vehicleAccessArea","vehicleAccessArea","LRMl Editor - Stefan",2023-02-26 22:55:39.681115000,"NZ_NZBC-G14VM1#2.6","vehicle access area",2246,
"turningSpace","turningSpace","LRMl Editor - Stefan",2023-02-26 22:56:56.777382000,"NZ_NZBC-G14VM1#2.6","turning space",2247,
"spilledWaste","spilledWaste","LRMl Editor - Stefan",2023-02-27 07:34:11.817775000,"NZ_NZBC-G14VM1#2.6","spilled waste",2248,
