"KEY","CODE","DESCRIPTION","TABLE_NAME","TEXT","TITLE",
"shirtFinishers","Pr_40_70_46_77","","Pr Products","shirt finishers","Shirt finishers",
"spottingCabinets","Pr_40_70_46_82","","Pr Products","spotting cabinets","Spotting cabinets",
"spottingTables","Pr_40_70_46_83","","Pr Products","spotting tables","Spotting tables",
"trouserPresses","Pr_40_70_46_90","","Pr Products","trouser presses","Trouser presses",
"washerExtractors","Pr_40_70_46_96","","Pr Products","washer extractors","Washer extractors",
"waterExtractionPresses","Pr_40_70_46_98","","Pr Products","water extraction presses","Water extraction presses",
"wetWorkPresses","Pr_40_70_46_99","","Pr Products","wet work presses","Wet work presses",
"laundryWashersAndDryers","Pr_40_70_47","","Pr Products","laundry washers and dryers","Laundry washers and dryers",
"barrierWashers","Pr_40_70_47_06","","Pr Products","barrier washers","Barrier washers",
"batchLaundryDryers","Pr_40_70_47_07","","Pr Products","batch laundry dryers","Batch laundry dryers",
"batchLaundryWashers","Pr_40_70_47_08","","Pr Products","batch laundry washers","Batch laundry washers",
"commercialWashers","Pr_40_70_47_15","","Pr Products","commercial washers","Commercial washers",
"frontLoadingWashers","Pr_40_70_47_32","","Pr Products","front-loading washers","Front-loading washers",
"laundryDryingCabinets","Pr_40_70_47_46","","Pr Products","laundry drying cabinets","Laundry drying cabinets",
"sanitaryBarrierWashers","Pr_40_70_47_75","","Pr Products","sanitary barrier washers","Sanitary barrier washers",
"commercialTumbleDryers","Pr_40_70_47_91","","Pr Products","commercial tumble dryers","Commercial tumble dryers",
"commercialWasherDryers","Pr_40_70_47_97","","Pr Products","commercial washer-dryers","Commercial washer-dryers",
"mailEquipment","Pr_40_70_50","","Pr Products","mail equipment","Mail equipment",
"frankingMachines","Pr_40_70_50_32","","Pr Products","franking machines","Franking machines",
"postHandlingEquipment","Pr_40_70_50_65","","Pr Products","post handling equipment","Post handling equipment",
"medicalAndLaboratoryEquipment","Pr_40_70_51","","Pr Products","medical and laboratory equipment","Medical and laboratory equipment",
"autoclaves","Pr_40_70_51_04","","Pr Products","autoclaves","Autoclaves",
"calorimeters","Pr_40_70_51_10","","Pr Products","calorimeters","Calorimeters",
"contaminationControlEquipment","Pr_40_70_51_16","","Pr Products","contamination control equipment","Contamination control equipment",
"defibrillatorUnits","Pr_40_70_51_22","","Pr Products","defibrillator units","Defibrillator units",
"fermenters","Pr_40_70_51_30","","Pr Products","fermenters","Fermenters",
"firstAidKits","Pr_40_70_51_32","","Pr Products","first aid kits","First aid kits",
"incubators","Pr_40_70_51_42","","Pr Products","incubators","Incubators",
"jacketedVessels","Pr_40_70_51_44","","Pr Products","jacketed vessels","Jacketed vessels",
"laboratoryContainmentIsolators","Pr_40_70_51_46","","Pr Products","laboratory containment isolators","Laboratory containment isolators",
"microscopes","Pr_40_70_51_51","","Pr Products","microscopes","Microscopes",
"operatingTheatreEquipment","Pr_40_70_51_59","","Pr Products","operating theatre equipment","Operating theatre equipment",
"oscilloscopes","Pr_40_70_51_60","","Pr Products","oscilloscopes","Oscilloscopes",
"radiationScreens","Pr_40_70_51_68","","Pr Products","radiation screens","Radiation screens",
"retrievers","Pr_40_70_51_70","","Pr Products","retrievers","Retrievers",
"sterilizationEquipment","Pr_40_70_51_84","","Pr Products","sterilization equipment","Sterilization equipment",
"vacuumFurnaces","Pr_40_70_51_94","","Pr Products","vacuum furnaces","Vacuum furnaces",
"xRayRadiationScreens","Pr_40_70_51_99","","Pr Products","x-ray radiation screens","X-ray radiation screens",
"medicalLaboratoryAndPharmacyRefrigeratorsAndFreezers","Pr_40_70_53","","Pr Products","medical, laboratory and pharmacy refrigerators and freezers","Medical, laboratory and pharmacy refrigerators and freezers",
"laboratoryFreezers","Pr_40_70_53_46","","Pr Products","laboratory freezers","Laboratory freezers",
"laboratoryRefrigerators","Pr_40_70_53_48","","Pr Products","laboratory refrigerators","Laboratory refrigerators",
"medicalFreezers","Pr_40_70_53_51","","Pr Products","medical freezers","Medical freezers",
"mortuaryFoetalCabinets","Pr_40_70_53_55","","Pr Products","mortuary foetal cabinets","Mortuary foetal cabinets",
"pharmacyFreezers","Pr_40_70_53_63","","Pr Products","pharmacy freezers","Pharmacy freezers",
"pharmacyRefrigerators","Pr_40_70_53_65","","Pr Products","pharmacy refrigerators","Pharmacy refrigerators",
"refrigeratedMortuaryStorageUnits","Pr_40_70_53_70","","Pr Products","refrigerated mortuary storage units","Refrigerated mortuary storage units",
"ultraLowFreezers","Pr_40_70_53_92","","Pr Products","ultra-low freezers","Ultra-low freezers",
"mooringDockingAndFlotationEquipment","Pr_40_70_55","","Pr Products","mooring, docking and flotation equipment","Mooring, docking and flotation equipment",
"anchorsAndChains","Pr_40_70_55_03","","Pr Products","anchors and chains","Anchors and chains",
"archFenders","Pr_40_70_55_05","","Pr Products","arch fenders","Arch fenders",
"capstan","Pr_40_70_55_15","","Pr Products","capstan","Capstan",
"coneFenders","Pr_40_70_55_20","","Pr Products","cone fenders","Cone fenders",
"cellFenders","Pr_40_70_55_22","","Pr Products","cell fenders","Cell fenders",
"fairleads","Pr_40_70_55_27","","Pr Products","fairleads","Fairleads",
"fenderStrips","Pr_40_70_55_29","","Pr Products","fender strips","Fender strips",
"floats","Pr_40_70_55_30","","Pr Products","floats","Floats",
"guidePiles","Pr_40_70_55_35","","Pr Products","guide piles","Guide piles",
"magneticMooringDevices","Pr_40_70_55_50","","Pr Products","magnetic mooring devices","Magnetic mooring devices",
